Racha_Local,Racha_Visita,Dif_Goles_Local,Dif_Goles_Visita,xG_Favor_Local,xG_Contra_Local,xG_Favor_Visita,xG_Contra_Visita,Pts_Totales_Local,Pts_Totales_Visita,FTR,B365H,B365D,B365A
1,4,-5,-1,1.3333333333333333,2.8000000000000003,1.7,1.6833333333333333,1,5,H,3.25,3.2,2.35
5,9,3,8,1.4000000000000001,0.8666666666666666,2.65,1.3333333333333333,8,9,D,2.2,3.4,3.3
4,3,-1,-1,2.183333333333333,1.1166666666666665,1.5,2.8666666666666667,4,4,D,2.2,3.5,3.25
6,1,0,-5,2.2333333333333334,1.3,1.7833333333333332,2.6333333333333333,9,1,H,1.57,4.2,5.25
5,7,1,2,2.3,1.6333333333333335,2.0166666666666666,2.3000000000000003,5,10,H,3.0,3.4,2.4
4,7,0,5,1.45,2.4666666666666663,2.4166666666666665,2.066666666666667,4,7,A,3.6,3.9,1.95
6,4,4,0,2.3333333333333335,1.15,2.6666666666666665,2.3000000000000003,9,5,H,1.3,6.25,9.0
0,2,-6,-3,1.5833333333333333,3.5500000000000003,0.9,2.233333333333333,0,2,D,2.25,3.5,3.2
3,3,2,-1,2.6,1.2333333333333334,2.0,3.016666666666667,4,6,H,1.55,4.5,5.5
2,3,-2,-1,1.6166666666666665,2.0666666666666664,2.35,1.7166666666666668,2,6,D,2.88,3.75,2.3
1,0,-2,-6,1.5666666666666664,2.3000000000000003,1.6666666666666667,2.983333333333333,2,0,D,2.45,3.4,2.88
3,7,0,4,2.1999999999999997,1.8166666666666667,2.1833333333333336,0.65,7,11,D,5.0,3.4,1.8
7,9,2,11,2.4666666666666663,2.733333333333333,3.483333333333333,1.3666666666666665,11,15,A,3.9,3.9,1.85
6,3,2,0,1.3499999999999999,1.7333333333333334,2.533333333333333,2.033333333333333,10,9,H,1.7,3.7,5.25
7,4,6,3,1.6666666666666667,1.1333333333333333,2.35,1.45,8,5,A,1.65,4.0,5.25
1,0,-2,-5,1.7666666666666666,1.6833333333333333,0.8500000000000001,1.8,3,5,D,2.05,2.8,4.75
2,4,-1,0,2.466666666666667,1.8,2.3333333333333335,1.3166666666666667,3,7,H,2.25,3.4,3.2
9,7,6,3,2.9166666666666665,1.1166666666666667,1.9500000000000002,2.0,12,10,D,1.8,3.6,4.5
2,2,-1,-3,1.0,1.5,1.5166666666666666,1.6666666666666667,3,3,A,3.3,3.1,2.4
5,7,1,2,2.4499999999999997,1.6666666666666667,2.3333333333333335,1.4000000000000001,8,8,D,1.75,3.75,4.75
2,9,-1,3,1.9666666666666666,1.8333333333333333,1.7999999999999998,1.9833333333333334,3,10,H,1.62,4.2,5.25
6,6,1,1,2.2333333333333334,1.9333333333333333,1.7333333333333334,1.6333333333333335,8,8,A,1.85,3.3,4.75
3,1,-2,-9,1.6666666666666667,1.8,0.9333333333333335,2.9500000000000006,5,5,H,1.65,3.8,5.5
4,6,-1,0,1.4666666666666668,1.6166666666666665,1.2666666666666666,1.9666666666666668,4,10,D,2.0,3.1,4.0
9,6,7,2,4.016666666666667,1.1500000000000001,2.2333333333333334,1.7833333333333332,14,10,H,1.2,6.5,13.0
3,2,-4,-1,2.4,2.25,2.0,1.7833333333333332,6,2,A,1.44,4.5,7.0
3,4,-3,1,1.5666666666666664,2.3166666666666664,2.216666666666667,1.6166666666666665,7,8,D,1.73,3.7,4.5
9,1,14,-2,3.9,1.45,1.9000000000000001,2.0666666666666664,18,4,H,1.25,6.25,10.0
0,6,-4,2,2.3333333333333335,1.7166666666666668,2.6666666666666665,1.5,2,8,D,3.1,3.1,2.38
6,4,-1,-3,1.5833333333333333,3.6166666666666667,1.8166666666666667,2.9166666666666665,7,11,A,3.25,3.5,2.15
3,7,-1,4,2.016666666666667,1.6333333333333335,1.75,0.9666666666666667,9,12,A,3.8,3.7,1.91
7,5,5,1,2.6333333333333333,1.4333333333333336,2.15,2.033333333333333,8,5,H,1.33,5.75,8.0
1,6,-3,1,0.9833333333333334,2.4333333333333336,1.9333333333333333,2.1999999999999997,5,11,A,3.0,2.9,2.63
5,1,2,-4,1.4666666666666666,1.1333333333333333,0.9833333333333334,1.8,9,6,D,1.9,3.0,5.0
1,6,-3,5,1.75,2.15,2.8333333333333335,1.7333333333333332,1,12,A,8.0,5.75,1.33
5,5,1,2,1.5166666666666666,1.75,2.8666666666666667,1.7166666666666668,9,8,A,2.38,3.3,3.0
5,3,1,-4,2.216666666666667,1.3,1.8333333333333333,2.3666666666666667,6,6,D,3.0,3.3,2.4
1,3,-4,0,1.5666666666666667,1.9333333333333333,1.0333333333333332,0.8833333333333333,5,9,A,5.5,3.5,1.7
6,4,-1,3,1.8166666666666664,2.033333333333333,1.8,1.6333333333333335,10,8,A,7.0,4.33,1.48
6,7,0,3,1.9333333333333333,3.1,3.8333333333333335,1.3833333333333335,10,13,D,5.25,4.33,1.6
4,9,-1,8,1.05,1.8333333333333333,3.1833333333333336,1.3833333333333335,11,21,H,7.0,4.5,1.45
1,4,-3,-1,1.6333333333333335,1.9833333333333334,0.8666666666666667,1.5166666666666666,5,5,H,1.85,3.25,4.75
1,3,-2,0,2.1666666666666665,2.466666666666667,1.7333333333333334,2.3166666666666664,1,3,H,2.7,3.3,2.63
1,3,-2,-1,1.4666666666666668,2.1666666666666665,1.9833333333333334,1.45,4,10,H,2.55,2.88,3.1
5,2,1,-1,1.7833333333333334,3.1666666666666665,1.4000000000000001,2.1666666666666665,11,3,H,1.17,8.0,15.0
3,1,-1,-5,2.3666666666666667,3.283333333333333,1.8,2.733333333333333,6,4,D,2.2,3.5,3.2
7,3,4,0,2.0833333333333335,2.4166666666666665,2.25,1.4500000000000002,10,9,H,1.73,4.2,4.2
7,2,5,-1,2.1166666666666667,1.2333333333333334,1.05,2.2666666666666666,10,3,H,1.36,5.0,8.5
5,4,2,0,1.25,1.6333333333333335,2.1999999999999997,2.2166666666666663,9,6,D,3.4,3.3,2.2
5,3,3,-3,1.9166666666666667,1.8166666666666664,1.4166666666666667,1.95,6,4,H,1.4,4.75,8.0
3,9,0,4,1.5999999999999999,1.9833333333333332,2.3000000000000003,1.3166666666666667,3,12,D,4.0,3.75,1.85
4,3,0,0,2.6166666666666667,1.5333333333333332,3.0666666666666664,1.6666666666666667,7,7,A,2.35,3.75,2.75
4,3,0,0,2.316666666666667,1.7333333333333332,1.1166666666666665,1.7833333333333334,5,6,H,2.1,3.4,3.6
7,4,2,0,1.45,1.8833333333333335,2.4833333333333334,1.6166666666666665,11,7,A,2.9,3.1,2.55
7,9,4,6,1.7166666666666668,1.2833333333333332,3.4499999999999997,1.25,15,17,D,2.8,3.3,2.5
4,3,0,-3,2.6666666666666665,1.7833333333333332,1.3,3.483333333333333,9,7,H,1.65,3.4,5.75
3,1,-1,-5,2.066666666666667,1.3833333333333335,1.1666666666666667,1.5833333333333333,9,8,D,2.1,3.6,3.25
9,6,5,1,1.9833333333333334,1.9666666666666668,1.7666666666666666,1.55,13,8,D,1.7,3.7,5.0
3,1,-3,-5,2.9166666666666665,3.183333333333333,1.883333333333333,3.1833333333333336,5,1,H,1.65,4.1,5.0
1,0,-2,-7,2.2666666666666666,2.6166666666666667,1.6666666666666667,1.9333333333333333,5,2,A,2.1,3.6,3.4
6,1,-2,-2,2.0166666666666666,2.3333333333333335,1.7666666666666666,1.7,14,3,H,1.45,4.33,6.5
0,3,-3,-3,1.05,3.0,1.8,2.0166666666666666,6,4,H,2.5,3.2,2.9
7,7,6,2,1.3166666666666667,1.0,3.0666666666666664,1.6666666666666667,13,8,H,1.45,4.33,7.0
2,4,-2,-1,1.45,1.9166666666666667,1.2333333333333334,1.5666666666666664,7,5,D,2.9,2.88,2.8
2,3,-3,0,2.0500000000000003,1.9833333333333332,1.7666666666666666,1.8499999999999999,5,4,H,1.8,3.8,4.33
