Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A
2025-01-26,Sociedad,Getafe,0,3,A,1.75,3.4,5.5
2025-01-26,Ath Bilbao,Leganes,0,0,D,1.38,5.0,7.5
2025-01-26,Barcelona,Valencia,7,1,H,1.22,7.5,10.0
2025-01-27,Alaves,Celta,1,1,D,2.63,3.0,3.0
2025-01-31,Leganes,Vallecano,0,1,A,3.3,3.0,2.38
2025-02-01,Espanol,Real Madrid,1,0,H,9.0,5.75,1.3
2025-02-01,Ath Madrid,Mallorca,2,0,H,1.4,4.33,8.5
2025-02-01,Villarreal,Valladolid,5,1,H,1.22,7.0,10.0
2025-02-01,Getafe,Sevilla,0,0,D,2.45,2.9,3.25
2025-02-02,Barcelona,Alaves,1,0,H,1.2,7.5,13.0
2025-02-02,Valencia,Celta,2,1,H,2.3,3.1,3.25
2025-02-02,Osasuna,Sociedad,2,1,H,3.0,3.0,2.55
2025-02-02,Betis,Ath Bilbao,2,2,D,2.9,3.3,2.45
2025-02-03,Girona,Las Palmas,2,1,H,1.6,4.2,5.0
2025-02-07,Vallecano,Valladolid,1,0,H,1.5,4.1,7.0
2025-02-08,Las Palmas,Villarreal,1,2,A,4.75,3.9,1.7
2025-02-08,Celta,Betis,3,2,H,2.25,3.4,3.2
2025-02-08,Ath Bilbao,Girona,3,0,H,1.65,4.0,5.0
2025-02-08,Real Madrid,Ath Madrid,1,1,D,1.85,3.6,4.2
2025-02-09,Alaves,Getafe,0,1,A,2.3,2.9,3.6
2025-02-09,Valencia,Leganes,2,0,H,1.73,3.4,5.5
2025-02-09,Sociedad,Espanol,2,1,H,1.6,3.9,5.75
2025-02-09,Sevilla,Barcelona,1,4,A,5.25,4.5,1.55
2025-02-10,Mallorca,Osasuna,1,1,D,2.0,3.0,4.33
2025-02-14,Girona,Getafe,1,2,A,1.95,3.25,4.33
2025-02-15,Villarreal,Valencia,1,1,D,1.5,4.5,5.5
2025-02-15,Ath Madrid,Celta,1,1,D,1.39,4.5,8.0
2025-02-15,Osasuna,Real Madrid,1,1,D,5.75,4.1,1.57
2025-02-15,Leganes,Alaves,3,3,D,3.1,2.9,2.6
2025-02-16,Espanol,Ath Bilbao,1,1,D,5.5,3.4,1.73
2025-02-16,Valladolid,Sevilla,0,4,A,4.0,3.4,1.95
2025-02-16,Mallorca,Las Palmas,3,1,H,1.73,3.5,5.25
2025-02-16,Betis,Sociedad,3,0,H,2.55,3.1,2.9
2025-02-17,Barcelona,Vallecano,1,0,H,1.22,7.0,11.0
2025-02-21,Celta,Osasuna,1,0,H,1.67,3.75,5.25
2025-02-22,Las Palmas,Barcelona,0,2,A,8.5,7.0,1.25
2025-02-22,Valencia,Ath Madrid,0,3,A,4.2,3.4,1.91
2025-02-22,Alaves,Espanol,0,1,A,1.8,3.25,5.25
2025-02-22,Vallecano,Villarreal,0,1,A,2.88,3.5,2.38
2025-02-23,Ath Bilbao,Valladolid,7,1,H,1.17,7.0,19.0
2025-02-23,Real Madrid,Girona,2,0,H,1.29,6.25,8.5
2025-02-23,Getafe,Betis,1,2,A,2.6,3.1,2.9
2025-02-23,Sociedad,Leganes,3,0,H,1.55,3.75,7.0
2025-02-24,Sevilla,Mallorca,1,1,D,2.05,3.2,3.9
2025-02-28,Valladolid,Las Palmas,1,1,D,3.1,3.2,2.4
2025-03-01,Betis,Real Madrid,2,1,H,4.33,4.0,1.73
2025-03-01,Ath Madrid,Ath Bilbao,1,0,H,2.05,3.5,3.6
2025-03-01,Vallecano,Sevilla,1,1,D,2.3,3.2,3.3
2025-03-01,Girona,Celta,2,2,D,2.2,3.5,3.25
2025-03-02,Leganes,Getafe,1,0,H,3.1,2.88,2.6
2025-03-02,Barcelona,Sociedad,4,0,H,1.25,5.75,12.0
2025-03-02,Mallorca,Alaves,1,1,D,2.25,3.1,3.5
2025-03-02,Osasuna,Valencia,3,3,D,2.3,3.2,3.3
2025-03-08,Celta,Leganes,2,1,H,1.55,3.8,7.0
2025-03-08,Alaves,Villarreal,1,0,H,3.1,3.25,2.38
2025-03-08,Valencia,Valladolid,2,1,H,1.38,4.5,9.0
2025-03-09,Betis,Las Palmas,1,0,H,1.42,4.5,7.5
2025-03-09,Getafe,Ath Madrid,2,1,H,4.5,3.1,1.95
2025-03-09,Real Madrid,Vallecano,2,1,H,1.29,5.75,9.5
2025-03-09,Ath Bilbao,Mallorca,1,1,D,1.62,3.7,6.0
2025-03-09,Sociedad,Sevilla,0,1,A,2.2,3.2,3.5
2025-03-10,Espanol,Girona,1,1,D,3.1,3.2,2.4
2025-03-14,Las Palmas,Alaves,2,2,D,2.88,3.0,2.75
2025-03-15,Girona,Valencia,1,1,D,1.92,3.5,3.9
2025-03-15,Villarreal,Real Madrid,1,2,A,3.1,3.75,2.15
2025-03-15,Valladolid,Celta,0,1,A,5.0,3.8,1.63
2025-03-15,Mallorca,Espanol,2,1,H,1.77,3.3,5.0
2025-03-16,Leganes,Betis,2,3,A,3.8,3.3,2.05
2025-03-16,Sevilla,Ath Bilbao,0,1,A,2.9,3.2,2.5
2025-03-16,Osasuna,Getafe,1,2,A,2.25,2.88,3.8
2025-03-16,Vallecano,Sociedad,2,2,D,2.5,3.0,3.1
2025-03-16,Ath Madrid,Barcelona,2,4,A,3.1,3.6,2.2
2025-03-27,Barcelona,Osasuna,3,0,H,1.29,7.0,7.0
2025-03-29,Sociedad,Valladolid,2,1,H,1.33,4.75,11.0
2025-03-29,Espanol,Ath Madrid,1,1,D,5.5,3.75,1.62
2025-03-29,Alaves,Vallecano,0,2,A,2.15,2.9,4.1
2025-03-29,Real Madrid,Leganes,3,2,H,1.14,8.0,17.0
2025-03-30,Valencia,Mallorca,1,0,H,2.15,3.1,3.75
2025-03-30,Betis,Sevilla,2,1,H,1.83,3.5,4.33
2025-03-30,Ath Bilbao,Osasuna,0,0,D,1.45,4.1,7.0
2025-03-30,Barcelona,Girona,4,1,H,1.25,6.5,10.0
2025-03-30,Getafe,Villarreal,1,2,A,3.25,3.1,2.35
2025-03-31,Celta,Las Palmas,1,1,D,1.57,4.1,5.5
2025-04-04,Vallecano,Espanol,0,4,A,1.65,3.5,6.0
2025-04-05,Girona,Alaves,0,1,A,2.05,3.4,3.6
2025-04-05,Real Madrid,Valencia,1,2,A,1.3,5.75,8.5
2025-04-05,Mallorca,Celta,1,2,A,2.63,3.2,2.8
2025-04-05,Barcelona,Betis,1,1,D,1.36,5.5,7.0
2025-04-06,Las Palmas,Sociedad,1,3,A,3.2,3.2,2.35
2025-04-06,Sevilla,Ath Madrid,1,2,A,3.5,3.2,2.2
2025-04-06,Valladolid,Getafe,0,4,A,4.75,3.1,1.9
2025-04-06,Villarreal,Ath Bilbao,0,0,D,2.2,3.3,3.25
2025-04-07,Leganes,Osasuna,1,1,D,2.7,3.1,2.75
2025-04-11,Valencia,Sevilla,1,0,H,2.3,3.1,3.4
2025-04-12,Celta,Espanol,0,2,A,1.62,3.7,6.0
